sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
9673,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228803,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-03-23,AWADH CONSTRUCTIONS COMPANY,Payment Success,1482957,1482957.0
9674,Uttar Pradesh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP856/2025-2026/228804,LUCKNOW(DISTRICT MAGISTRAE LUCKNOW_IDA),Rajnath Singh,LUCKNOW,2026-03-23,AWADH CONSTRUCTIONS COMPANY,Payment Success,1831841,1831841.0
9675,Chhattisgarh,Installing tube-wells and borewells,WS/MP429/2026-2027/295385,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,2026-07-24,CEO Janpad Katghora,Payment Success,145000,145000.0
9676,Chhattisgarh,Renovation of ponds and lakes,WS/MP429/2026-2027/275081,KORBA(Collector-Korba),Jyotsna Charandas Mahant,KORBA,2026-05-20,CEO Janpad Katghora,Payment Success,150000,150000.0
9677,West Bengal,"Purchase of ambulances (Four, three and two wheelers)",WS/MP243/2025-2026/189460,North 24 Parganas(DISTRICT MAGISTRATE NORTH TWENTY FOUR PARGANAS_IDA),Kakoli Ghosh Dastidar,BARASAT,2026-05-20,BHANDARI AUTOMOBILES PVT LTD,Payment Success,785253,785253.0
9678,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18173/2025-2026/211131,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S,ARANI,2026-03-20,Durai V,Payment Success,199980,199980.0
9679,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18168/2025-2026/263211,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),2026-03-23,shivsingh meena,Payment Success,9750,9750.0
9680,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18168/2025-2026/263211,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),2026-03-23,ramnaresh meena,Payment Success,9750,9750.0
9681,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18168/2025-2026/263211,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),2026-03-23,kavita,Payment Success,9750,9750.0
9682,Rajasthan,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18168/2025-2026/263211,KARAULI(DISTRICT COLLECTOR KARAULI_IDA),BHAJAN LAL JATAV,KARAULI-DHOLPUR(SC),2026-03-23,RASHMI MEENA,Payment Success,2895,2895.0
9683,Tamil Nadu,Construction of buildings for sports facilities,WS/MP18173/2026-2027/225966,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S,ARANI,2026-07-06,Suresh,Payment Success,200000,200000.0
9684,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18173/2026-2027/225961,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S,ARANI,2026-06-19,Suresh,Payment Success,400000,400000.0
9685,Tamil Nadu,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18173/2025-2026/164089,TIRUVANNAMALAI(DISTRICT COLLECTOR TIRUVANNAMALAI_IDA),THARANIVENTHAN M S,ARANI,2026-03-20,Suresh,Payment Success,450000,450000.0
