sr_no,state,work,work_id,ida,honble_members_of_parliament,constituency,expenditure_date,vendor_name,payment_status,fund_disbursed_amount,amount
9603,Punjab,Construction of community centers and community halls,WS/MP380/2025-2026/193119,FATEHGARH SAHIB(DEPUTY COMMISSIONER FATEHGARH SAHIB_IDA),Shri Amar Singh,FATEHGARH SAHIB(SC),2026-03-25,HARBANS KAUR,Payment Success,30120,30120.0
9604,Arunachal Pradesh,Construction of bus-sheds or bus-stops,WS/MP533/2025-2026/260029,WEST KAMENG(Deputy Commisioner West Kameng_IDA),Kiren Rijiju,ARUNACHAL WEST,2026-03-23,MS A S ENTERPRISES,Payment Success,500000,500000.0
9605,Arunachal Pradesh,Construction of bus-sheds or bus-stops,WS/MP533/2025-2026/260032,WEST KAMENG(Deputy Commisioner West Kameng_IDA),Kiren Rijiju,ARUNACHAL WEST,2026-03-23,MS A S ENTERPRISES,Payment Success,500000,500000.0
9606,Uttar Pradesh,Improvement of electricity distribution infrastructure,WS/MP18218/2025-2026/252372,GHAZIABAD(DISTRICT MAGISTRAE GHAZIABAD_IDA),ATUL GARG,GHAZIABAD,2026-03-23,EUDD 11 KV LT,Payment Success,214837,214837.0
9607,Maharashtra,Lighting of public spaces,WS/MP18369/2026-2027/177563,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-06-27,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,Payment Success,393708,393708.0
9608,Maharashtra,Lighting of public spaces,WS/MP18369/2026-2027/177561,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-06-27,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,Payment Success,393629,393629.0
9609,Maharashtra,Lighting of public spaces,WS/MP18369/2026-2027/177571,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-06-26,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,Payment Success,393708,393708.0
9610,Maharashtra,Lighting of public spaces,WS/MP18369/2026-2027/177572,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-06-25,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,Payment Success,393590,393590.0
9611,Maharashtra,Lighting of public spaces,WS/MP18369/2025-2026/177568,YAVATMAL(DISTRICT COLLECTOR YAVATMAL_IDA),Sanjay Uttamrao Deshmukh,YAVATMAL-WASHIM,2026-03-23,MS KUNAL ELECTRICALS CONTRACTOR YAVATMAL,Payment Success,393672,393672.0
9612,Meghalaya,Providing drains and gutters for public drainage,WS/MP18137/2025-2026/158690,"EAST KHASI HILLS(Deputy Commissioner, East Khasi Hills District)",ANDREW J. SYNGKON,SHILLONG,2026-04-14,SENG KYNTHEI LAWSOHTUN,Payment Success,250000,250000.0
9613,Rajasthan,Construction of community centers and community halls,WS/MP18162/2025-2026/193323,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),DAMODAR AGARWAL,BHILWARA,2026-03-21,CHARBHUJA CONTRACTOR,Payment Success,403489,403489.0
9614,West Bengal,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP423/2025-2026/202284,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,2026-05-05,MAA TARA ENTERPRISE,Payment Success,254539,254539.0
9615,Arunachal Pradesh,Construction of bus-sheds or bus-stops,WS/MP533/2025-2026/260024,WEST KAMENG(Deputy Commisioner West Kameng_IDA),Kiren Rijiju,ARUNACHAL WEST,2026-03-24,R Y Enterprise,Payment Success,500000,500000.0
9616,Punjab,Construction of public irrigation facilities,WS/MP18157/2025-2026/198811,LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA),AMRINDER SINGH RAJA WARRING,LUDHIANA,2026-03-27,MANMEET SAHEJPAL,Payment Success,82979,82979.0
9617,Gujarat,Installing community drinking water plants,WS/MP18059/2025-2026/248156,VALSAD(DISTRICT COLLECTOR VALSAD_IDA),DHAVAL LAXMANBHAI PATEL,VALSAD(ST),2026-03-24,K TECH SYSTEMS,Payment Success,498900,498900.0
9618,Gujarat,Installing community drinking water plants,WS/MP18059/2025-2026/248158,VALSAD(DISTRICT COLLECTOR VALSAD_IDA),DHAVAL LAXMANBHAI PATEL,VALSAD(ST),2026-03-24,K TECH SYSTEMS,Payment Success,498900,498900.0
9619,Gujarat,Installing community drinking water plants,WS/MP18059/2025-2026/252582,VALSAD(DISTRICT COLLECTOR VALSAD_IDA),DHAVAL LAXMANBHAI PATEL,VALSAD(ST),2026-03-24,K TECH SYSTEMS,Payment Success,498300,498300.0
9620,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18064/2025-2026/203140,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),NAVEEN JINDAL,KURUKSHETRA,2026-05-12,SONU CO OP LABOUR AND CONST SOCIETY LTD,Payment Success,785345,785345.0
9621,Haryana,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18064/2025-2026/203140,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),NAVEEN JINDAL,KURUKSHETRA,2026-06-19,SONU CO OP LABOUR AND CONST SOCIETY LTD,Payment Success,4071,4071.0
9622,Sikkim,"Purchase of IT systems, including hardware and software for educational purposes",WS/MP013/2025-2026/232375,Gyalshing(DISTRICT COLLECTOR GYALSHING_IDA),Indra Hang Subba,SIKKIM,2026-04-13,PONA HANG LIMBOO,Payment Success,514900,514900.0
9623,Rajasthan,Construction of community centers and community halls,WS/MP18162/2025-2026/187390,Shahpura(DISTRICT COLLECTOR Shahpura_IDA),DAMODAR AGARWAL,BHILWARA,2026-04-15,Rajendra Kumar,Payment Success,252686,252686.0
9624,Punjab,Construction of footpaths and pedestrian ways,WS/MP18155/2025-2026/267276,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),2026-07-15,Jasvir Singh Massean,Payment Success,40529,40529.0
9625,Punjab,Construction of footpaths and pedestrian ways,WS/MP18155/2025-2026/267276,HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA),DR. RAJ KUMAR CHABBEWAL,HOSHIARPUR(SC),2026-03-20,Jasvir Singh Massean,Payment Success,65000,65000.0
9626,Odisha,Construction of boundary walls of existing public and community buildings,WS/MP18147/2025-2026/222850,MAYURBHANJ(DISTRICT COLLECTOR MAYURBHANJ_IDA),NABA CHARAN MAJHI,MAYURBHANJ (ST),2026-03-23,Bisheswar Rout,Payment Success,500000,500000.0
9627,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18323/2025-2026/181753,LATUR(DISTRICT COLLECTOR LATUR_IDA),DR KALGE SHIVAJI BANDAPPA,LATUR(SC),2026-03-24,Grampanchayat Karyalaya Baspur,Payment Success,498425,498425.0
9628,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP428/2025-2026/270881,Khairagarh-Chhuikhadan-Gandai(District Collector Khairagarh_IDA),Santosh Pandey,RAJNANDGAON,2026-04-06,gram panchayat budhanbhath,Payment Success,250000,250000.0
9629,Chhattisgarh,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP428/2025-2026/270881,Khairagarh-Chhuikhadan-Gandai(District Collector Khairagarh_IDA),Santosh Pandey,RAJNANDGAON,2026-07-08,gram panchayat budhanbhath,Payment Success,249900,249900.0
9630,Meghalaya,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233837,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Lamkyrdan Sungoh,Payment Success,200000,200000.0
9631,Haryana,"Patrolling Vehicles to government institution for Public Conveniences, Safety and Security",WS/MP18062/2025-2026/202993,HISAR(DEPUTY COMMISSIONER HISSAR_IDA),JAI PARKASH,HISAR,2026-04-10,Suresh Kumar,Payment Success,55338,55338.0
9632,Meghalaya,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233264,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Elmoon Surong,Payment Success,150000,150000.0
9633,Meghalaya,Construction of building for artificial insemination and breeding centers,WS/MP18137/2025-2026/233800,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Fermanus Syiemiong,Payment Success,750000,750000.0
9634,Meghalaya,Construction of public toilets and bathrooms,WS/MP18137/2025-2026/233764,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Ribok Kharpran,Payment Success,150000,150000.0
9635,Meghalaya,Construction of rooms and halls in school and colleges,WS/MP18137/2025-2026/233831,RI BHOI(DEPUTY COMMISSIONER RIBHOI NONGPOH_IDA),ANDREW J. SYNGKON,SHILLONG,2026-03-23,Treibor Kharpan,Payment Success,150000,150000.0
9636,Maharashtra,"Construction of roads, link roads, pathways or any other road with or without drainage system",WS/MP18131/2025-2026/206353,RATNAGIRI(District Collector Ratnagiri_IDA),NARAYAN TATU RANE,RATNAGIRI-SINDHUDURG,2026-03-24,animesh narendra keer,Payment Success,500000,500000.0
9637,Gujarat,Construction of boundary walls of existing public and community buildings,WS/MP18058/2025-2026/200784,VADODARA(DISTRICT COLLECTOR VADODARA_IDA),DR. HEMANG JOSHI,VADODARA,2026-07-06,VAV JUTH GRAM PACHAYAT,Payment Success,500000,500000.0
