sr_no,work_category,work,state,ida,honble_members_of_parliament,constituency,work_description,recommended_date,sanction_date,sanction_amount,work_status,work_id,amount
1661,Normal/Others,"WS/MP423/2024-2025/138844-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road From H/O Sk Kochi towards H/O Sk Sajamal. (127 mtr),04-Sep-2024,2025-02-12,393193,Physical Inspection,WS/MP423/2024-2025/138844,393193.0
1662,Normal/Others,"WS/MP423/2024-2025/138847-Construction of roads, link roads, pathways or any other road with or without drainage system",West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),Shri Abhishek Banerjee,DIAMOND HARBOUR,Construction of CC Road with pilling from H/O Mr. Kalam Mallick to H/O Mr. Rahaman Mallick . (100 mtr),04-Sep-2024,2025-02-12,296746,Physical Inspection,WS/MP423/2024-2025/138847,296746.0
1663,Normal/Others,WS/MP18001/2024-2025/138858-Construction of community centers and community halls,Andhra Pradesh,Dr. B.R. Ambedkar Konaseema(DISTRICT COLLECTOR Dr B R AMBEDKAR KONASEEMA_IDA),GM Harish Balayogi,AMALAPURAM(SC),Construction of OC Community hall at Machara,04-Sep-2024,2024-11-27,3507771,Physical Inspection,WS/MP18001/2024-2025/138858,3507771.0
1664,Normal/Others,WS/MP641/2024-2025/138892-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138892,236003.0
1665,Normal/Others,WS/MP641/2024-2025/138894-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138894,236003.0
1666,Normal/Others,WS/MP641/2024-2025/138895-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138895,236003.0
1667,Normal/Others,WS/MP641/2024-2025/138897-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138897,236003.0
1668,Normal/Others,WS/MP641/2024-2025/138899-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138899,236003.0
1669,Normal/Others,WS/MP641/2024-2025/138900-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead body freezer,04-Sep-2024,2024-11-20,235251,Physical Inspection,WS/MP641/2024-2025/138900,235251.0
1670,Normal/Others,WS/MP641/2024-2025/138901-Purchase of hospital equipment,Madhya Pradesh,Khargone (West Nimar)(DISTRICT COLLECTOR KHARGONE_IDA),Gajendra Singh Patel,KHARGONE(ST),Purchase of hospital equipment Dead Body Freezer,04-Sep-2024,2024-11-20,236003,Physical Inspection,WS/MP641/2024-2025/138901,236003.0
