work_id,total_disbursed,payment_count,vendor_count,max_single_payment,min_single_payment,avg_payment,vendor_payment_ratio,largest_payment_ratio,vendor_count_zscore,vendor_count_outlier,max_single_payment_zscore,max_single_payment_outlier,total_disbursed_zscore,total_disbursed_outlier,log_total_disbursed,log_max_payment,log_avg_payment
,0.0,0,1,,,,inf,,-0.15186309381776222,0,-0.72654448415503,0,-0.5995416082866591,0,0.0,,
WS/MP005/2024-2025/145074,450000.0,1,1,450000.0,450000.0,450000.0,1.0,1.0,-0.15186309381776222,0,0.035550124543894855,0,-0.04959588783568475,0,13.017005083966255,13.017005083966255,13.017005083966255
WS/MP005/2024-2025/175217,250000.0,1,1,250000.0,250000.0,250000.0,1.0,1.0,-0.15186309381776222,0,-0.3031585904334051,0,-0.29401620803611783,0,12.429220196836383,12.429220196836383,12.429220196836383
WS/MP005/2024-2025/175218,149865.0,1,1,149865.0,149865.0,149865.0,1.0,1.0,-0.15186309381776222,0,-0.47274157630466473,0,-0.41639135185246967,0,11.917496840485038,11.917496840485038,11.917496840485038
WS/MP005/2024-2025/175230,100000.0,1,1,100000.0,100000.0,100000.0,1.0,1.0,-0.15186309381776222,0,-0.55719012666638,0,-0.47733144818644263,0,11.51293546492023,11.51293546492023,11.51293546492023
WS/MP005/2024-2025/175232,50000.0,1,1,50000.0,50000.0,50000.0,1.0,1.0,-0.15186309381776222,0,-0.641867305410705,0,-0.5384365282365509,0,10.819798284210286,10.819798284210286,10.819798284210286
WS/MP005/2024-2025/175233,450000.0,1,1,450000.0,450000.0,450000.0,1.0,1.0,-0.15186309381776222,0,0.035550124543894855,0,-0.04959588783568475,0,13.017005083966255,13.017005083966255,13.017005083966255
WS/MP005/2024-2025/175247,50000.0,1,1,50000.0,50000.0,50000.0,1.0,1.0,-0.15186309381776222,0,-0.641867305410705,0,-0.5384365282365509,0,10.819798284210286,10.819798284210286,10.819798284210286
WS/MP005/2024-2025/175248,50000.0,1,1,50000.0,50000.0,50000.0,1.0,1.0,-0.15186309381776222,0,-0.641867305410705,0,-0.5384365282365509,0,10.819798284210286,10.819798284210286,10.819798284210286
WS/MP005/2024-2025/175249,100000.0,1,1,100000.0,100000.0,100000.0,1.0,1.0,-0.15186309381776222,0,-0.55719012666638,0,-0.47733144818644263,0,11.51293546492023,11.51293546492023,11.51293546492023
WS/MP005/2024-2025/175250,200000.0,1,1,200000.0,200000.0,200000.0,1.0,1.0,-0.15186309381776222,0,-0.38783576917773005,0,-0.3551212880862261,0,12.206077645517674,12.206077645517674,12.206077645517674
WS/MP005/2024-2025/175251,100000.0,1,1,100000.0,100000.0,100000.0,1.0,1.0,-0.15186309381776222,0,-0.55719012666638,0,-0.47733144818644263,0,11.51293546492023,11.51293546492023,11.51293546492023
