sr_no,work_category,work,state,ida,work_description,honble_members_of_parliament,constituency,image,completion_date,amount_disbursed,work_id,amount
6627,Normal/Others,WS/MP18100/2025-2026/180516-Purchase of mobile water tankers,Madhya Pradesh,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),Purchase Water Tanker GP Belkheda,BUNTY VIVEK SAHU,CHHINDWARA,,2025-05-06,125000,WS/MP18100/2025-2026/180516,125000.0
6628,Normal/Others,WS/MP18109/2024-2025/175943-Street lights,Madhya Pradesh,SHAHDOL(District Collector Shahdol_IDA),35 NAG SOLAR STREET LIGHTS KA INSTTALATION,DR. RAJESH MISHRA,SIDHI,,2026-02-17,1157705,WS/MP18109/2024-2025/175943,1157705.0
6629,Normal/Others,WS/MP18100/2024-2025/179857-Construction of common work sheds/ common covered sitting area,Madhya Pradesh,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),Construction Of Rungmanch At Devgarh,BUNTY VIVEK SAHU,CHHINDWARA,Images,2026-02-06,150000,WS/MP18100/2024-2025/179857,150000.0
6630,Normal/Others,WS/MP18100/2025-2026/179798-Construction of buildings for community cultural activities,Madhya Pradesh,CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA),Construction Of Rungmanch At Chouki tola Kalathuni,BUNTY VIVEK SAHU,CHHINDWARA,Images,2025-11-03,100000,WS/MP18100/2025-2026/179798,100000.0
6631,Normal/Others,WS/MP18014/2024-2025/167546-Construction of boundary walls of existing public and community buildings,Andhra Pradesh,Sri Potti Sriramulu Nellore(DISTRICT COLLECTOR NELLORE_IDA),"Construction of Compound Wall and Levelling of Burila Ground in  Kothakonduru SC Colony of Nagayagunta  Grama Panchayath, Buchireddipalem Mandal",PRABHAKAR REDDY VEMIREDDY,NELLORE(SC),Images,2025-05-06,349909,WS/MP18014/2024-2025/167546,349909.0
6632,Normal/Others,WS/MP18102/2025-2026/159145-Construction of footpaths and pedestrian ways,Madhya Pradesh,DHAR(DISTRICT COLLECTOR DHAR_IDA),sirvi mohalla me laxman rathor ke ghar se punamchand ke ghar tak,SAVITRI THAKUR,DHAR(ST),Images,2025-08-25,998943,WS/MP18102/2025-2026/159145,998943.0
6633,Normal/Others,WS/MP829/2024-2025/172237-Lighting of public spaces,West Bengal,HOWRAH(DISTRICT MAGISTRATE HOWRAH_IDA),Installation of High Mast Light near DM ghat Evening Star Club,Smt Sajda Ahmed,ULUBERIA,Images,2025-05-14,149898,WS/MP829/2024-2025/172237,149898.0
6634,Normal/Others,"WS/MP681/2024-2025/143975-Construction of roads, link roads, pathways or any other road with or without drainage system",Maharashtra,PARBHANI(DISTRICT COLLECTOR PARBHANI_IDA),"Construction of CC road and Drains at Regaon, tal.Purna.",Sanjay Haribhau Jadhav,PARBHANI,Images,2025-05-07,699957,WS/MP681/2024-2025/143975,699957.0
6635,Normal/Others,WS/MP18138/2025-2026/148805-Construction of community centers and community halls,Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)","Construction of waiting shed near Health Sub Centre, Zawlpui",RICHARD VANLALHMANGAIHA,MIZORAM (ST),Images,2025-10-13,250000,WS/MP18138/2025-2026/148805,250000.0
6636,Normal/Others,"WS/MP18138/2025-2026/148804-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",PCC pavement of Internal Road at Putlungasih(Pu Zarzoliana's house to Pu Lallunghnema's house: 40 mtres),RICHARD VANLALHMANGAIHA,MIZORAM (ST),Images,2025-10-13,250000,WS/MP18138/2025-2026/148804,250000.0
6637,Normal/Others,"WS/MP18138/2025-2026/148808-Construction of roads, link roads, pathways or any other road with or without drainage system",Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",PCC pavement of Internal Road at Rangte(Main Road to RMSA High School: 50 mtres),RICHARD VANLALHMANGAIHA,MIZORAM (ST),Images,2025-10-13,250000,WS/MP18138/2025-2026/148808,250000.0
6638,Normal/Others,WS/MP381/2025-2026/184592-Purchase of immovable sports equipment,Punjab,AMRITSAR(DEPUTY COMMISSIONER AMRITSAR_IDA),FOR PURCHASE OF WRESTLING MAT,Shri Gurjeet Singh Aujla,AMRITSAR,,2026-02-09,500000,WS/MP381/2025-2026/184592,500000.0
6639,Normal/Others,WS/MP18138/2025-2026/148807-Development of playfields and sports grounds,Mizoram,"LUNGLEI(Deputy Commissioner, Lunglei)",Construction of pavilion at Public Playground at Chhumkhum,RICHARD VANLALHMANGAIHA,MIZORAM (ST),Images,2025-10-13,250000,WS/MP18138/2025-2026/148807,250000.0
6640,Normal/Others,"WS/MP18152/2024-2025/140062-Construction of roads, link roads, pathways or any other road with or without drainage system",Punjab,MOGA(Deputy Commissioner Moga),Laying of interlock tiles in various Streets.,SARABJEET SINGH KHALSA,FARIDKOT(SC),Images,2025-07-17,500000,WS/MP18152/2024-2025/140062,500000.0
6641,Normal/Others,WS/MP18064/2024-2025/154942-Construction of common work sheds/ common covered sitting area,Haryana,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),Construction of floor of paver block in Knowledge Centre,NAVEEN JINDAL,KURUKSHETRA,Images,2025-07-21,226948,WS/MP18064/2024-2025/154942,226948.0
6642,Normal/Others,"WS/MP18064/2024-2025/154938-Construction of roads, link roads, pathways or any other road with or without drainage system",Haryana,KURUKSHETRA(DEPUTY COMMISSIONER KURUKSHETRA_IDA),Construction of Street h/o Hukam Chand Saini to h/o Tara Chand,NAVEEN JINDAL,KURUKSHETRA,Images,2025-07-21,227952,WS/MP18064/2024-2025/154938,227952.0
6643,Normal/Others,WS/MP18251/2024-2025/155474-Street lights,West Bengal,South 24 Parganas(DISTRICT MAGISTRATE SOUTH TWENTY FOUR PARGANAS_IDA),INSTALLATION OF 1 NO. OF SOLAR STREET LIGHT (WITH 6 MTR. G.I. POLE & 1 NO. 20 WATT LED BULB) NEAR SREERAMPUR CHAKRABORTY PARA,SAYANI GHOSH,JADAVPUR,Images,2025-08-26,34259,WS/MP18251/2024-2025/155474,34259.0
