"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"7136","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/227307","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","16-Jun-2026","Sweety Construction","Payment Success","1888785"
"7137","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215081","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","14-May-2026","D M Traders","Payment Success","1203802"
"7138","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215131","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","03-Jul-2026","Jeet Enterprises","Payment Success","1374996"
"7139","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215132","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Jul-2026","Jeet Enterprises","Payment Success","1374299"
"7140","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP672/2026-2027/215133","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","24-Jul-2026","Jeet Enterprises","Payment Success","1368261"
"7141","Maharashtra","Construction of community centers and community halls","WS/MP672/2026-2027/247099","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Nitin Jairam Gadkari","NAGPUR","14-May-2026","Patel Associates","Payment Success","1965693"
"7142","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","Dashmesh Febricator","Payment Success","19420"
"7143","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","Dashmesh Febricator","Payment Success","49914"
"7144","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","Dashmesh Febricator","Payment Success","48203"
"7145","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","15-Jul-2026","Dashmesh Febricator","Payment Success","19950"
"7146","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","15-Jul-2026","Dashmesh Febricator","Payment Success","11970"
"7147","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","15-Jul-2026","Dashmesh Febricator","Payment Success","24057"
"7148","Mizoram","Construction of boundary walls of existing public and community buildings","WS/MP18138/2026-2027/259062","Siaha(Deputy Commissioner, Siaha)","RICHARD VANLALHMANGAIHA","MIZORAM (ST)","14-May-2026","LALRINCHHANI","Payment Success","712500"
"7149","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","15-Jul-2026","Binder Singh","Payment Success","23800"
"7150","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","Binder Singh","Payment Success","23800"
"7151","Punjab","Construction of rooms and halls in school and colleges","WS/MP18158/2025-2026/199809","S.A.S Nagar(DEPUTY COMMISSIONER SAHIBZADA AJIT SINGH NAGAR MOHALI_IDA)","DR DHARAMVIRA GANDHI","PATIALA","11-May-2026","Binder Singh","Payment Success","23800"
"7152","Bihar","Construction of community centers and community halls","WS/MP316/2025-2026/237835","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","13-May-2026","RUBY SINGH","Payment Success","649550"
"7153","Bihar","Construction of community centers and community halls","WS/MP316/2025-2026/237835","SARAN(DISTRICT PLANNING OFFICE SARAN CHAPRA_IDA)","Shri Janardan Singh Sigriwal","MAHARAJGANJ_BR","04-Jul-2026","RUBY SINGH","Payment Success","826756"
"7154","Maharashtra","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18130/2026-2027/280871","NAGPUR(DISTRICT COLLECTOR NAGPUR_IDA)","Shyamkumar","RAMTEK(SC)","19-May-2026","MATIN NOOR SHEIKH","Payment Success","496717"
"7155","Karnataka","Construction of buildings for community cultural activities","WS/MP18077/2026-2027/209874","BELAGAVI(DEPUTY COMMISSIONER BELGAUM_IDA)","JAGADISH SHETTAR","BELGAUM","19-May-2026","SHRIKANT YALLAPPA  KARAGANNI","Payment Success","628388"
"7156","Punjab","Construction of boundary walls of existing public and community buildings","WS/MP380/2025-2026/196708","LUDHIANA(DEPUTY COMMISSIONER LUDHIANA_IDA)","Shri Amar Singh","FATEHGARH SAHIB(SC)","24-Jun-2026","Jai Krishan","Payment Success","464200"
"7157","Madhya Pradesh","Construction of public libraries and reading rooms","WS/MP18100/2025-2026/179854","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","15-May-2026","HMS Construction Company","Payment Success","164226"
"7158","Madhya Pradesh","Construction of public libraries and reading rooms","WS/MP18100/2025-2026/179854","CHHINDWARA(DISTRICT COLLECTOR CHHINDWARA_IDA)","BUNTY VIVEK SAHU","CHHINDWARA","20-Aug-2026","HMS Construction Company","Payment Success","318429"
"7159","Chhattisgarh","Construction of community centers and community halls","WS/MP18335/2025-2026/239242","RAIGARH(DISTRICT COLLECTOR RAIGARH_IDA)","RADHE SHYAM RATHIYA","RAIGARH(ST)","11-May-2026","GRAM PANCHYAT CHAPLE","Payment Success","500000"
"7160","Rajasthan","Construction of rooms and halls in school and colleges","WS/MP386/2024-2025/142507","NAGAUR(DISTRICT COLLECTOR NAGAUR_IDA)","Shri Hanuman Beniwal","NAGAUR","06-May-2026","SARPANCH GRAM PANCHAYAT KANTIYA","Payment Success","254475"
"7161","Uttarakhand","Improvement of electricity distribution infrastructure","WS/MP18415/2026-2027/269591","HARIDWAR(DISTRICT MAGISTRATE HARIDWAR_IDA)","TRIVENDRA SINGH RAWAT","HARDWAR","29-Jun-2026","EDD Urban Roorkee","Payment Success","881417"
"7162","Bihar","Construction of public staircase/ stair ghat for public convenience","WS/MP18042/2025-2026/259645","SAMASTIPUR(DISTRICT PLANNING OFFICER SAMASTIPUR_IDA)","SHAMBHAVI","SAMASTIPUR(SC)","05-May-2026","MS PRAKASH CONSTRUCTION CO","Payment Success","699267"
"7163","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177240","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","manju naula","Payment Success","8418"
"7164","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177239","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","manju naula","Payment Success","12444"
"7165","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177238","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","21-May-2026","manju naula","Payment Success","17934"
"7166","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177238","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","21-May-2026","SUGRIV","Payment Success","21715"
"7167","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177239","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","SUGRIV","Payment Success","17170"
"7168","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177240","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","SUGRIV","Payment Success","15150"
"7169","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177240","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","RANJNA","Payment Success","8784"
"7170","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177239","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","13-Aug-2026","RANJNA","Payment Success","12444"
"7171","Uttarakhand","Construction of community centers and community halls","WS/MP021/2025-2026/177238","NAINITAL(DISTRICT MAGISTRATE NAINITAL_IDA)","Ajay Bhatt","NAINITAL UDHAM SINGH NAG.","21-May-2026","RANJNA","Payment Success","18300"
"7172","Punjab","Construction of additional rooms and halls in the existing public and community building","WS/MP18314/2025-2026/219467","BARNALA(DEPUTY COMMISSIONER BARNALA_IDA)","GURMEET SINGH MEET HAYER","SANGRUR","07-May-2026","Balvir Singh","Payment Success","29808"
"7173","Haryana","Construction of community centers and community halls","WS/MP18060/2025-2026/217069","YAMUNANAGAR(Deputy Commissioner YamunaNagar_IDA)","VARUN CHAUDHRY","AMBALA (SC)","19-May-2026","The Bankat LandC soceity ltd","Payment Success","811729"
"7174","Gujarat","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18326/2025-2026/238211","SURENDRANAGAR(DISTRICT COLLECTOR SURENDRANAGAR_IDA)","CHANDUBHAI CHHAGANBHAI SHIHORA","SURENDRANAGAR","06-May-2026","GRAM PANCHYAT GARAMBHADI","Payment Success","299757"
"7175","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","umeed singh","Payment Success","20455"
"7176","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","sadaam husain","Payment Success","14820"
"7177","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","Amit Kumar","Payment Success","22100"
"7178","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","rajesh kumar","Payment Success","19500"
"7179","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","devendra kumar","Payment Success","25870"
"7180","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","Amar Singh","Payment Success","14820"
"7181","Rajasthan","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP18167/2025-2026/245064","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","07-May-2026","sandeep kumar","Payment Success","22100"
"7182","Madhya Pradesh","Construction of common work sheds/ common covered sitting area","WS/MP360/2025-2026/252091","UJJAIN(DISTRICT COLLECTOR UJJAIN_IDA)","Shri Anil Firojiya","UJJAIN(SC)","14-May-2026","Gram Panchyat Rohalkhurd","Payment Success","600000"
"7183","Punjab","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18152/2025-2026/258335","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","Joginder Singh","Payment Success","67000"
"7184","Maharashtra","Providing CCTV camera system for security of public areas","WS/MP18127/2026-2027/253685","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499900"
"7185","Maharashtra","Providing CCTV camera system for security of public areas","WS/MP18127/2026-2027/253686","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499900"
"7186","Maharashtra","Street lights","WS/MP18127/2026-2027/253687","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499650"
"7187","Maharashtra","Street lights","WS/MP18127/2026-2027/253688","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","988889"
"7188","Maharashtra","Providing CCTV camera system for security of public areas","WS/MP18127/2026-2027/253689","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499900"
"7189","Maharashtra","Providing CCTV camera system for security of public areas","WS/MP18127/2026-2027/253690","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499900"
"7190","Maharashtra","Providing CCTV camera system for security of public areas","WS/MP18127/2026-2027/253691","NASHIK(DISTRICT COLLECTOR NASHIK_IDA)","RAJABHAU","NASHIK","07-Jul-2026","PEDKAI ELECTRICALS","Payment Success","499900"
"7191","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231308","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","12-May-2026","RUNU HAZARIKA","Payment Success","167811"
"7192","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231308","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","13-Jul-2026","RUNU HAZARIKA","Payment Success","510240"
"7193","Gujarat","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP585/2025-2026/178906","GANDHINAGAR(DISTRICT COLLECTOR GANDHINAGAR_IDA)","Hasmukh Bhai Soma Bhai Patel","AHMEDABAD EAST","30-Jun-2026","ALPHA EQUIPMENTS","Payment Success","7737422"
"7194","Punjab","Development of playfields and sports grounds","WS/MP18152/2025-2026/258314","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","Sukhminderjit Singh","Payment Success","23310"
"7195","Punjab","Development of playfields and sports grounds","WS/MP18152/2025-2026/258314","FARIDKOT(DEPUTY COMMISSIONER FARIDKOT_IDA)","SARABJEET SINGH KHALSA","FARIDKOT(SC)","14-May-2026","Dara Singh","Payment Success","10824"
"7196","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","08-May-2026","Ravindra Singh","Payment Success","795020"
"7197","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18198/2025-2026/214766","PRAYAGRAJ(DISTRICT MAGISTRAE ALLAHABAD_IDA)","UJJWAL RAMAN SINGH","ALLAHABAD","08-May-2026","Ravindra Singh","Payment Success","911447"
"7198","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","SUBHASH CHAND","Payment Success","18000"
"7199","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","RAMLAL SWAMI","Payment Success","18000"
"7200","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","BALRAM","Payment Success","6000"
"7201","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","SANTOSH DEVI","Payment Success","6000"
"7202","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","SUMAN DEVI","Payment Success","1000"
"7203","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18167/2024-2025/160013","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","06-May-2026","BABITA CHOUDHARY","Payment Success","6000"
"7204","Tamil Nadu","Construction of boundary walls of existing public and community buildings","WS/MP18180/2025-2026/231222","PERAMBALUR(DISTRICT COLLECTOR PERAMBALUR_IDA)","ARUN NEHRU","PERAMBALUR","06-May-2026","SriRaj Construction","Payment Success","498957"
"7205","Rajasthan","Construction of community centers and community halls","WS/MP384/2024-2025/145237","BIKANER(DISTRICT COLLECTOR BIKANER_IDA)","Shri Arjun Ram Meghwal","BIKANER(SC)","15-May-2026","PRADEEP CONSTRUCTION COMPANY","Payment Success","716024"
"7206","Uttar Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18216/2025-2026/190626","FATEHPUR(DISTRICT MAGISTRATE FATEHPUR_IDA)","NARESH CHANDRA UTTAM PATEL","FATEHPUR","07-May-2026","MS MANVI ENTERPRISES","Payment Success","967200"
"7207","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","SONIYA MALI","Payment Success","3640"
"7208","Odisha","Construction of building for veterinary aid centers","WS/MP18148/2025-2026/169196","KORAPUT(District Collector Koraput_IDA)","BALABHADRA MAJHI","NABARANGPUR(ST)","07-May-2026","JAY HANUMAN ENTERPRISES","Payment Success","1000000"
"7209","Rajasthan","Lighting of public spaces","WS/MP18163/2026-2027/264643","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","03-Jul-2026","ROOP NARAYAN SAINI","Payment Success","489995"
"7210","Rajasthan","Lighting of public spaces","WS/MP18163/2026-2027/264645","DAUSA(DISTRICT COLLECTOR DAUSA_IDA)","MURARI LAL MEENA","DAUSA(ST)","03-Jul-2026","ROOP NARAYAN SAINI","Payment Success","490092"
"7211","Punjab","Installing tube-wells and borewells","WS/MP18158/2026-2027/261350","PATIALA(DEPUTY COMMISSIONER PATIALA_IDA)","DR DHARAMVIRA GANDHI","PATIALA","19-May-2026","Sahil Gupta Mistri","Payment Success","44100"
"7212","Odisha","Construction of community centers and community halls","WS/MP18142/2025-2026/217276","PURI(DISTRICT COLLECTOR PURI_IDA)","BIBHU PRASAD TARAI","JAGATSINGHPUR(SC)","25-Jun-2026","TOPHAN SETHI","Payment Success","193039"
"7213","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231295","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","18-Jun-2026","We R","Payment Success","556040"
"7214","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231295","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","21-Aug-2026","We R","Payment Success","676970"
"7215","Assam","Construction of community centers and community halls","WS/MP18025/2025-2026/231297","GOLAGHAT(Deputy Commissioner Golaghat_IDA)","KAMAKHYA PRASAD TASA","Kaziranga","11-May-2026","We R","Payment Success","1500000"
"7216","Haryana","Construction of Government office buildings (Post office, Police station, Police chauki, etc.)","WS/MP431/2025-2026/222032","REWARI(District Commissioner Rewari)","Rao Inderjit Singh","GURGAON","19-Jun-2026","The Saket Co op L C Society","Payment Success","645155"
"7217","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Bheem singh gajraj","Payment Success","39000"
"7218","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Mukesh kumar","Payment Success","29250"
"7219","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Predeep Kumar","Payment Success","19500"
"7220","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Kapil","Payment Success","19500"
"7221","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Saroj","Payment Success","14820"
"7222","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Aarti Devi","Payment Success","14820"
"7223","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Aasha Devi","Payment Success","14820"
"7224","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Godavari","Payment Success","14820"
"7225","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Sunil Kumar","Payment Success","20865"
"7226","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Rajpal","Payment Success","19500"
"7227","Rajasthan","Construction of community centers and community halls","WS/MP18167/2025-2026/187094","JHUNJHUNU(DISTRICT COLLECTOR JHUNJHUNU_IDA)","BRIJENDRA SINGH OLA","JHUNJHUNU","08-May-2026","Anil Kumar","Payment Success","4845"
"7228","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/241374","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","20-Jul-2026","SASIDHARAN NAIR K K","Payment Success","643676"
"7229","Kerala","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18264/2025-2026/160551","KOTTAYAM(DISTRICT COLLECTOR KOTTAYAM_IDA)","ADV K FRANCIS GEORGE","KOTTAYAM","15-May-2026","SASIDHARAN NAIR K K","Payment Success","263404"
"7230","West Bengal","Construction of toilet blocks","WS/MP18353/2024-2025/138635","HOOGHLY(DISTRICT MAGISTRATE HOOGHLY_IDA)","RACHNA BANERJEE","HOOGHLY","13-May-2026","S S CONSTRUCTION","Payment Success","290242"
"7231","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Lali","Payment Success","3640"
"7232","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Mahaveer Mali","Payment Success","9750"
"7233","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Ladi","Payment Success","3640"
"7234","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Mukesh Sharma","Payment Success","3640"
"7235","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Pooja Sharma","Payment Success","3640"
"7236","Jammu And Kashmir","Construction of flood control embankments/ protection walls along riverbanks, hilltops, roadsides","WS/MP18070/2025-2026/243299","ANANTNAG(DEPUTY COMMISSIONER ANANTNAG_IDA)","MIAN ALTAF AHMAD","ANANTNAG","12-May-2026","MOHD QASIM KHARI","Payment Success","178500"
"7237","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Brji Raj Sharma","Payment Success","3640"
"7238","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Chandra Prakash","Payment Success","3640"
"7239","Rajasthan","Construction of community centers and community halls","WS/MP719/2025-2026/227478","Kekri(DISTRICT COLLECTOR Kekri_IDA)","Bhagirath Chaudhary","AJMER","13-May-2026","Shrawan Kumar Pareek","Payment Success","9750"
"7240","Haryana","Construction of community centers and community halls","WS/MP18067/2025-2026/227278","JIND(DEPUTY COMMISSIONER JIND)","SATPAL BRAHAMCHARI","SONEPAT","19-Jun-2026","Bharat Bhatta Co","Payment Success","182897"
