"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Constituency","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"15836","Punjab","Development of public parks","WS/MP18155/2024-2025/141701","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","10-Jan-2026","Guru Building Material Berchha","Payment Success","16500"
"15837","Punjab","Development of public parks","WS/MP18155/2024-2025/141701","HOSHIARPUR(DEPUTY COMMISSIONER HOSHIARPUR_IDA)","DR. RAJ KUMAR CHABBEWAL","HOSHIARPUR(SC)","10-Jan-2026","Guru Building Material Berchha","Payment Success","13200"
"15838","Assam","Construction of community centers and community halls","WS/MP18023/2025-2026/200676","KAMRUP METRO(DEPUTY COMMISSIONER KAMRUP METROPOLITAN_IDA)","BIJULI KALITA MEDHI","GUWAHATI","16-Jan-2026","CC Construction of Community Hall near Bamunimaidam Sarbajanin Durga Mandir","Payment Success","1200000"
"15839","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/197729","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","09-Jan-2026","KASWAN NIRMAN COMPANY","Payment Success","400000"
"15840","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP728/2025-2026/197730","HANUMANGARH(DISTRICT COLLECTOR HANUMANGARH_IDA)","Rahul Kaswan","CHURU","09-Jan-2026","KASWAN NIRMAN COMPANY","Payment Success","400000"
"15841","Chhattisgarh","Construction of buildings for community cultural activities","WS/MP429/2025-2026/242181","KOREA(Collector Korea_IDA)","Jyotsna Charandas Mahant","KORBA","12-Jan-2026","SARPANCH GRAM PANCHAYAT CHHOTESALHI","Payment Success","250000"
"15842","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/257555","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","25-Feb-2026","SDSCO Palampur","Payment Success","31207"
"15843","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18069/2025-2026/257555","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","05-May-2026","SDSCO Palampur","Payment Success","163056"
"15844","Himachal Pradesh","Construction of public irrigation facilities","WS/MP18069/2025-2026/257556","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","25-Feb-2026","SDSCO Palampur","Payment Success","49669"
"15845","Himachal Pradesh","Construction of public irrigation facilities","WS/MP18069/2025-2026/257556","KANGRA(DEPUTY COMMISSIONER KANGRA_IDA)","RAJEEV BHARDWAJ","KANGRA","18-May-2026","SDSCO Palampur","Payment Success","200331"
